"Species.No.","Common.Name","Latin.Name","LATmin","LATmax","LATextent","areaKM2"
12,"balsam fir","Abies balsamea",38.404285408133,58.7978909226621,20.3936055145291,3339726.45469933
43,"Atlantic white cedar","Chamaecyparis thyoides",29.1156804463637,44.3923967354779,15.2767162891142,140535.44786726
68,"eastern redcedar","Juniperus virginiana",29.4583090065238,47.0720558591446,17.6137468526208,2807167.595231
71,"tamarack (native)","Larix laricina",39.1429252890357,67.6717607134157,28.5288354243801,5986813.30819086
94,"white spruce","Picea glauca",42.7104644072254,69.5793750828432,26.8689106756178,7181525.54281097
95,"black spruce","Picea mariana",40.5276260617251,69.5123145677417,28.9846885060166,7293388.54653872
97,"red spruce","Picea rubens",35.2350308671771,48.014045702772,12.779014835595,402848.398037759
105,"jack pine","Pinus banksiana",41.4712143402108,65.2958534219566,23.8246390817457,3226029.54928915
107,"sand pine","Pinus clausa",25.910762621517,30.7129895051568,4.8022268836398,59706.2124689495
110,"shortleaf pine","Pinus echinata",29.6971699080709,41.2200526573147,11.5228827492438,1112405.59348227
111,"slash pine","Pinus elliottii",25.3553201093822,33.3984012492003,8.04308113981818,263743.856756714
115,"spruce pine","Pinus glabra",29.6025384565656,34.1037743979276,4.50123594136195,231333.014547899
121,"longleaf pine","Pinus palustris",26.6374093795764,36.9575745049477,10.3201651253714,523493.864328179
123,"Table Mountain pine","Pinus pungens",34.5726772204431,41.1185317668373,6.54585454639417,93517.5032139944
125,"red pine","Pinus resinosa",38.6429939234547,51.251533965481,12.6085400420263,1187743.2726966
126,"pitch pine","Pinus rigida",33.7538477408619,45.2771474211373,11.5232996802753,480508.533842507
128,"pond pine","Pinus serotina",28.0041790312892,39.8835212129325,11.8793421816433,313376.921931604
129,"eastern white pine","Pinus strobus",34.2794647229393,51.1161807879658,16.8367160650265,1862921.28136437
131,"loblolly pine","Pinus taeda",28.2708851241981,39.4944459214265,11.2235607972284,871492.336487644
132,"Virginia pine","Pinus virginiana",32.3490976103829,41.4173061793209,9.06820856893794,533540.517715912
221,"baldcypress","Taxodium distichum",25.1202832775385,38.9628416356781,13.8425583581396,897630.745708992
222,"pondcypress","Taxodium distichum var. nutans",25.1202832775385,36.9693297004916,11.849046422953,372780.229734886
241,"northern white cedar","Thuja occidentalis",35.598125447852,55.0167998131455,19.4186743652935,1645562.8746558
261,"eastern hemlock","Tsuga canadensis",33.598102812819,48.3339043005944,14.7358014877753,1214860.54066983
311,"Florida maple","Acer barbatum",28.4330798469423,37.3322777529583,8.89919790601597,427824.077902215
313,"boxelder","Acer negundo",28.3235606705484,54.0288730977725,25.7053124272241,4296254.66999742
314,"black maple","Acer nigrum",35.2465338346963,46.1005298211916,10.8539959864954,1041435.6875702
315,"striped maple","Acer pensylvanicum",34.6629088303308,49.2051056177022,14.5421967873713,763953.854735243
316,"red maple","Acer rubrum",25.5466953237341,49.4010008577411,23.854305534007,3248156.20203969
317,"silver maple","Acer saccharinum",29.954419621359,48.2894782120121,18.335058590653,2574652.0482211
318,"sugar maple","Acer saccharum",33.4568252953296,49.4220968272174,15.9652715318878,2288498.64617761
319,"mountain maple","Acer spicatum",34.915221545329,54.7783599261115,19.8631383807825,2181112.30110741
331,"Ohio buckeye","Aesculus glabra",29.2813203901196,42.8569364396427,13.5756160495231,937201.374757983
332,"yellow buckeye","Aesculus flava",34.3026736006329,40.7833589458608,6.48068534522788,261548.437688517
355,"European alder","Alnus glutinosa",29.7711105064245,49.6125868481936,19.8414763417691,2800501.05332078
367,"pawpaw","Asimina triloba",29.701969957414,43.4424460686899,13.7404761112759,1583034.01704447
371,"yellow birch","Betula alleghaniensis",34.7778927891842,49.9502714111869,15.1723786220027,1522648.96234778
372,"sweet birch","Betula lenta",33.1910339493716,45.7441162693513,12.5530823199797,504682.665637884
373,"river birch","Betula nigra",29.6208137501038,45.1827308938642,15.5619171437605,1483624.75461719
375,"paper birch","Betula papyrifera",35.027000563971,68.5049812571558,33.4779806931849,7215077.39288872
379,"gray birch","Betula populifolia",35.0857592170563,47.8056983202099,12.7199391031536,416754.08847426
381,"chittamwood/gum bumelia","Sideroxylon lanuginosum",25.8450647406413,39.2283126696168,13.3832479289755,1071485.22640752
391,"American hornbeam/musclewood","Carpinus caroliniana",28.7419303091216,47.4772148195941,18.7352845104725,2590963.09205674
401,"water hickory","Carya aquatica",26.5081368239234,37.8734791922567,11.3653423683333,668911.378451334
402,"bitternut hickory","Carya cordiformis",29.6189134409602,47.4351158361848,17.8162023952245,2540105.63442946
403,"pignut hickory","Carya glabra",26.5221072985101,44.2055700164656,17.6834627179555,1948030.99769133
404,"pecan","Carya illinoinensis",28.3027335454969,42.3847634394558,14.0820298939589,804067.997374631
405,"shellbark hickory","Carya laciniosa",32.0268386472678,43.4521764188299,11.4253377715621,596216.347736485
